AIRCRAFT_ID,AIRCRAFT_MANUFACTURER,AIRCRAFT_MODEL,SEAT_CAPACITY,REVIEW_ID
42,Unknown,Unknown,,107763
42,Unknown,Unknown,,145047
42,Unknown,Unknown,,130921
19,Boeing,Boeing 737,189,122829
32,Boeing,Boeing 777,396,99952
42,Unknown,Unknown,,43177
23,Boeing,Boeing 747,467,126465
42,Unknown,Unknown,,89208
42,Unknown,Unknown,,89316
34,Boeing,Boeing 787,242,100175
28,Boeing,Boeing 767,216,42186
42,Unknown,Unknown,,64372
42,Unknown,Unknown,,123772
42,Unknown,Unknown,,152724
19,Boeing,Boeing 737,189,90058
42,Unknown,Unknown,,119887
42,Unknown,Unknown,,112700
28,Boeing,Boeing 767,216,64894
34,Boeing,Boeing 787,242,140871
32,Boeing,Boeing 777,396,140872
19,Boeing,Boeing 737,189,103859
32,Boeing,Boeing 777,396,103894
26,Boeing,Boeing 757,200,117688
28,Boeing,Boeing 767,216,119599
26,Boeing,Boeing 757,200,128506
32,Boeing,Boeing 777,396,148628
34,Boeing,Boeing 787,242,148629
42,Unknown,Unknown,,76494
42,Unknown,Unknown,,149574
42,Unknown,Unknown,,59896
32,Boeing,Boeing 777,396,119294
28,Boeing,Boeing 767,216,125219
32,Boeing,Boeing 777,396,107728
32,Boeing,Boeing 777,396,85991
19,Boeing,Boeing 737,189,90638
19,Boeing,Boeing 737,189,90708
42,Unknown,Unknown,,102955
42,Unknown,Unknown,,92978
42,Unknown,Unknown,,124281
34,Boeing,Boeing 787,242,132134
20,,Boeing 738,,55651
42,Unknown,Unknown,,91745
42,Unknown,Unknown,,84078
32,Boeing,Boeing 777,396,60618
32,Boeing,Boeing 777,396,46095
42,Unknown,Unknown,,119590
42,Unknown,Unknown,,51104
42,Unknown,Unknown,,82708
42,Unknown,Unknown,,143424
42,Unknown,Unknown,,129491
42,Unknown,Unknown,,123314
42,Unknown,Unknown,,130385
42,Unknown,Unknown,,132309
42,Unknown,Unknown,,124743
42,Unknown,Unknown,,81541
42,Unknown,Unknown,,102820
34,Boeing,Boeing 787,242,113931
42,Unknown,Unknown,,140235
42,Unknown,Unknown,,92712
42,Unknown,Unknown,,124124
42,Unknown,Unknown,,111525
42,Unknown,Unknown,,84339
42,Unknown,Unknown,,88644
42,Unknown,Unknown,,107264
42,Unknown,Unknown,,123361
42,Unknown,Unknown,,85534
42,Unknown,Unknown,,76337
42,Unknown,Unknown,,53688
42,Unknown,Unknown,,66411
42,Unknown,Unknown,,65912
42,Unknown,Unknown,,127504
42,Unknown,Unknown,,120328
42,Unknown,Unknown,,57080
42,Unknown,Unknown,,43648
42,Unknown,Unknown,,139931
32,Boeing,Boeing 777,396,40921
34,Boeing,Boeing 787,242,81327
3,Airbus,A320,180,65642
42,Unknown,Unknown,,81926
32,Boeing,Boeing 777,396,98944
42,Unknown,Unknown,,80786
32,Boeing,Boeing 777,396,123438
42,Unknown,Unknown,,94720
42,Unknown,Unknown,,89582
42,Unknown,Unknown,,43231
28,Boeing,Boeing 767,216,107994
42,Unknown,Unknown,,106543
42,Unknown,Unknown,,82393
32,Boeing,Boeing 777,396,81377
42,Unknown,Unknown,,73050
42,Unknown,Unknown,,42968
32,Boeing,Boeing 777,396,125530
34,Boeing,Boeing 787,242,154082
42,Unknown,Unknown,,88690
42,Unknown,Unknown,,85140
42,Unknown,Unknown,,73469
19,Boeing,Boeing 737,189,92129
42,Unknown,Unknown,,109943
42,Unknown,Unknown,,139121
42,Unknown,Unknown,,98536
42,Unknown,Unknown,,136797
42,Unknown,Unknown,,135389
42,Unknown,Unknown,,76483
19,Boeing,Boeing 737,189,155636
42,Unknown,Unknown,,101999
42,Unknown,Unknown,,45288
42,Unknown,Unknown,,116363
42,Unknown,Unknown,,113906
19,Boeing,Boeing 737,189,89745
42,Unknown,Unknown,,102580
19,Boeing,Boeing 737,189,77440
42,Unknown,Unknown,,93071
42,Unknown,Unknown,,76304
42,Unknown,Unknown,,132560
42,Unknown,Unknown,,138919
19,Boeing,Boeing 737,189,141318
42,Unknown,Unknown,,123316
42,Unknown,Unknown,,137364
42,Unknown,Unknown,,137292
26,Boeing,Boeing 757,200,60515
42,Unknown,Unknown,,135264
42,Unknown,Unknown,,96831
42,Unknown,Unknown,,67890
42,Unknown,Unknown,,98213
42,Unknown,Unknown,,67410
42,Unknown,Unknown,,141714
42,Unknown,Unknown,,118859
32,Boeing,Boeing 777,396,96096
42,Unknown,Unknown,,40053
